site,lat,lon,height,start,end
CTPM,-9.7013,33.263,1285.5330000000001,2013-03-01,2017-04-06
ISOK,-10.171,32.6456,1324.59,2013-03-05,2017-04-03
KA01,-9.9541,33.8955,513.842,2013-02-08,2014-03-11
KFNY,-9.5468,35.1025,1714.8410000000001,2012-07-25,2017-02-19
LIVA,-10.6137,34.1071,1359.543,2013-03-01,2016-04-22
MATL,-9.592,34.5847,2184.1,2012-07-20,2017-08-02
MBBC,-11.2736,34.8003,522.8290000000001,2012-07-23,2017-08-03
MPIK,-11.8209,31.4512,1392.37,2013-03-31,2015-06-16
MTDK,-7.544,36.4206,548.1759999999999,2013-05-16,2017-07-31
SNGC,-10.6898,35.6728,1181.195,2012-07-21,2017-08-02
TNDC,-11.0626,37.3405,672.96,2012-07-23,2016-08-16
VWZM,-11.1753,33.5744,1113.313,2012-07-14,2016-10-22
